"","Species","order","presence","genome.assembly","ott_id","flags","tips"
"286","Epinephelus coioides","Perciformes/Serranoidei","present","y",457795,"","Epinephelus coioides"
"287","Favonigobius gymnauchen","Gobiiformes","present","",100808,"","Favonigobius gymnauchen"
"288","Pseudanthias squamipinnis","Perciformes/Serranoidei","present","",26905,"","Pseudanthias squamipinnis"
"289","Gadus macrocephalus","Gadiformes","present","y",56885,"","Gadus macrocephalus"
"290","Gasterosteus aculeatus","Perciformes/Gasterosteoidei","present","y",401066,"","Gasterosteus aculeatus"
"291","Gasterosteus aculeatus aculeatus",NA,"present","y",111122,"infraspecific","Gasterosteus aculeatus aculeatus"
"292","Geophagus steindachneri","Cichliformes","present","",87568,"","Geophagus steindachneri"
"293","Girella punctata","Centrarchiformes","present","",188324,"","Girella punctata"
"294","Glossanodon semifasciatus","Argentiniformes","present","",562634,"","Glossanodon semifasciatus"
"295","Gnathonemus petersii","Osteoglossiformes","present","",115478,"","Gnathonemus petersii"
"296","Gymnocorymbus ternetzi","Characiformes","present","",783051,"","Gymnocorymbus ternetzi"
"297","Gymnodraco acuticeps","Perciformes/Notothenioidei","present","y",781785,"","Gymnodraco acuticeps"
"298","Gymnotus pantherinus","Gymnotiformes","present","",445404,"","Gymnotus pantherinus"
"299","Parajulis poecilepterus","Eupercaria/misc","present","",127504,"","Parajulis poecilepterus"
"300","Halichoeres tenuispinis","Eupercaria/misc","present","",1095891,"","Halichoeres tenuispinis"
"301","Batrachomoeus trispinosus","Batrachoidiformes","present","",713029,"","Batrachomoeus trispinosus"
"302","Hemiodus semitaeniatus","Characiformes","present","",3624386,"","Hemiodus semitaeniatus"
"303","Hemiodus sterni","Characiformes","present","",3624388,"","Hemiodus sterni"
"304","Hepsetus odoe","Characiformes","present","y",128234,"","Hepsetus odoe"
"305","Hexagrammos agrammus","Perciformes/Cottoidei","present","",185865,"","Hexagrammos agrammus"
"306","Hippocampus guttulatus","Syngnathiformes","present","y",630164,"","Hippocampus guttulatus"
"307","Hypodytes rubripinnis",NA,"present","y",463550,"","Hypodytes rubripinnis"
"308","Hypomesus nipponensis","Osmeriformes","present","y",37114,"","Hypomesus nipponensis"
"309","Lagocephalus wheeleri","Tetraodontiformes","present","",986276,"","Lagocephalus wheeleri"
"310","Lateolabrax japonicus","Acropomatiformes","present","",186480,"","Lateolabrax japonicus"
"311","Pseudomystus siamensis","Siluriformes","present","",566357,"","Pseudomystus siamensis"
"312","Nuchequula nuchalis","Acanthuriformes","present","",89840,"","Nuchequula nuchalis"
"313","Lepidotrigla microptera","Perciformes/Scorpaenoidei","present","",438423,"","Lepidotrigla microptera"
"314","Lepomis macrochirus","Centrarchiformes","present","y",836783,"","Lepomis macrochirus"
"315","Leporinus fasciatus","Characiformes","present","",546980,"","Leporinus fasciatus"
