"","X.2","X.1","X","Species","Order","Family","Genus","SV3","presence","genome.assembly","ott_id","flags","tips","SV.not.in.figure","latitude","salinity"
"41",41,41,41,"Chaetodon miliaris","Chaetodontiformes","Chaetodontidae","Chaetodon",1,"present","",766706,"","Chaetodon_miliaris",NA,42,"saltwater"
"42",42,42,42,"Chaetodon multicinctus","Chaetodontiformes","Chaetodontidae","Chaetodon",1,"present","",766709,"","Chaetodon_multicinctus",NA,82,"saltwater"
"43",43,43,43,"Cyprinus carpio","Cypriniformes","Cyprinidae","Cyprinus",1,"present","y",429083,"","Cyprinus_carpio",NA,63,"freshwater"
"44",44,44,44,"Echeneis naucrates","Carangiformes","Echeneidae","Echeneis",1,"present","y",776562,"","Echeneis_naucrates",NA,29,"saltwater"
"45",45,45,45,"Acarichthys heckelii","Cichliformes","Cichlidae","Acarichthys",NA,"present","",16170,"","Acarichthys_heckelii",NA,NA,"freshwater"
"46",46,46,46,"Acipenser baerii","Acipenseriformes","Acipenseridae","Acipenser",3.25,"present","",518827,"","Acipenser_baerii",NA,96,"freshwater"
"47",47,47,47,"Acipenser transmontanus","Acipenseriformes","Acipenseridae","Acipenser",1,"present","y",378925,"","Acipenser_transmontanus",NA,83,"freshwater"
"48",48,48,48,"Apareiodon affinis","Characiformes","Parodontidae","Apareiodon",NA,"present","",533482,"","Apareiodon_affinis",NA,NA,"freshwater"
"49",49,49,49,"Conger myriaster","Anguilliformes","Congridae","Conger",3,"present","",479867,"","Conger_myriaster",NA,57,"saltwater"
"50",50,50,50,"Cottoperca gobio","Perciformes","Bovichtidae","Cottoperca",NA,"present","y",867530,"","Cottoperca_gobio",NA,60,"saltwater"
"51",51,51,51,"Dasyatis akajei","Myliobatiformes","Dasyatidae","Dasyatis",1,"present","",225332,"sibling_higher","Dasyatis_akajei",NA,NA,NA
"52",52,52,52,"Epinephelus adscensionis","Perciformes","Serranidae","Epinephelus",NA,"present","",534151,"","Epinephelus_adscensionis",NA,21,"saltwater"
"53",53,53,53,"Sander lucioperca","Perciformes","Percidae","Sander",3,"present","y",557682,"","Sander_lucioperca",NA,84,"freshwater"
"54",54,54,54,"Scophthalmus maximus","Pleuronectiformes","Scophthalmidae","Scophthalmus",2.25,"present","y",778695,"","Scophthalmus_maximus",NA,89,"saltwater"
"55",55,55,55,"Pseudopleuronectes americanus","Pleuronectiformes","Pleuronectidae","Pseudopleuronectes",1,"present","y",261419,"","Pseudopleuronectes_americanus",NA,72,"saltwater"
"56",56,56,56,"Salminus brasiliensis","Characiformes","Bryconidae","Salminus",NA,"present","y",419009,"","Salminus_brasiliensis",NA,27,"freshwater"
