"","X.2","X.1","X","Species","Order","Family","Genus","SV3","presence","genome.assembly","ott_id","flags","tips","SV.not.in.figure","latitude","salinity"
"174",174,174,174,"Geophagus steindachneri","Cichliformes","Cichlidae","Geophagus",2,"present","",87568,"","Geophagus_steindachneri",NA,22,"freshwater"
"175",175,175,175,"Geophagus sveni","Cichliformes","Cichlidae","Geophagus",1,"present","",3636351,"","Geophagus_sveni",NA,63,"freshwater"
"176",176,176,176,"Glyptothorax pectinopterus","Siluriformes","Sisoridae","Glyptothorax",1,"present","",3621869,"","Glyptothorax_pectinopterus",NA,46,"freshwater"
"177",177,177,177,"Gnathopogon caerulescens","Cypriniformes","Cyprinidae","Gnathopogon",1,"present","",325187,"","Gnathopogon_caerulescens",NA,60,"freshwater"
"178",178,178,178,"Gobionotothen gibberifrons","Perciformes","Nototheniidae","Gobionotothen",1,"present","y",448828,"","Gobionotothen_gibberifrons",NA,104,"saltwater"
"179",179,179,179,"Goeldiella eques","Siluriformes","Heptapteridae","Goeldiella",1,"present","",502078,"","Goeldiella_eques",NA,17,"freshwater"
"180",180,180,180,"Sigmops gracilis","Stomiiformes","Gonostomatidae","Sigmops",1,"present","",648959,"","Sigmops_gracilis",NA,76,"saltwater"
"181",181,181,181,"Guianacara dacrya","Cichliformes","Cichlidae","Guianacara",1,"present","",3636364,"","Guianacara_dacrya",NA,63,"freshwater"
"182",182,182,182,"Gymnocephalus cernua","Perciformes","Percidae","Gymnocephalus",1,"present","y",104323,"","Gymnocephalus_cernua",NA,89,"freshwater"
"183",183,183,183,"Harpagifer georgianus","Perciformes","Harpagiferidae","Harpagifer",1,"present","",350788,"","Harpagifer_georgianus",NA,103,"saltwater"
"184",184,184,184,"Hemibarbus barbus","Cypriniformes","Cyprinidae","Hemibarbus",1,"present","",655295,"","Hemibarbus_barbus",NA,NA,NA
"185",185,185,185,"Hoplias malabaricus","Characiformes","Erythrinidae","Hoplias",1,"present","y",179348,"","Hoplias_malabaricus",NA,42,"freshwater"
"186",186,186,186,"Hypostomus plecostomus","Siluriformes","Loricariidae","Hypostomus",1,"present","",96090,"","Hypostomus_plecostomus",NA,26,"freshwater"
"187",187,187,187,"Ictalurus punctatus","Siluriformes","Ictaluridae","Ictalurus",1,"present","y",701523,"","Ictalurus_punctatus",NA,69,"freshwater"
"188",188,188,188,"Idiacanthus antrostomus","Stomiiformes","Stomiidae","Idiacanthus",1,"present","",890166,"","Idiacanthus_antrostomus",NA,77,"saltwater"
"189",189,189,189,"Konosirus punctatus","Clupeiformes","Clupeidae","Konosirus",1,"present","",39743,"","Konosirus_punctatus",NA,57,"saltwater"
"190",190,190,190,"Kryptopterus bicirrhis","Siluriformes","Siluridae","Kryptopterus",1,"present","",896070,"","Kryptopterus_bicirrhis",NA,24,"freshwater"
"191",191,191,191,"Lepidonotothen larseni","Perciformes","Nototheniidae","Lepidonotothen",1,"present","y",969899,"","Lepidonotothen_larseni",NA,NA,NA
"192",192,192,192,"Lestrolepis intermedia","Aulopiformes","Paralepididae","Lestrolepis",1,"present","",1057256,"","Lestrolepis_intermedia",NA,36,"saltwater"
"193",193,193,193,"Leuciscus idus","Cypriniformes","Cyprinidae","Leuciscus",1,"present","y",41137,"","Leuciscus_idus",NA,88,"freshwater"
"194",194,194,194,"Leucopsarion petersii","Gobiiformes","Gobiidae","Leucopsarion",1,"present","",331701,"","Leucopsarion_petersii",NA,68,"saltwater"
"195",195,195,195,"Liza parsia","Mugiliformes","Mugilidae","Liza",1,"present","",728954,"","Liza_parsia",NA,NA,NA
"196",196,196,196,"Lophiosilurus alexandri","Siluriformes","Pseudopimelodidae","Lophiosilurus",2,"present","",498407,"","Lophiosilurus_alexandri",NA,31,"freshwater"
"197",197,197,197,"Luciogobius guttatus","Gobiiformes","Gobiidae","Luciogobius",1,"present","",868320,"","Luciogobius_guttatus",NA,57,"saltwater"
"198",198,198,198,"Mazarunia mazarunii","Cichliformes","Cichlidae","Mazarunia",1,"present","",8413,"","Mazarunia_mazarunii",NA,63,"freshwater"
"199",199,199,199,"Microglanis cottoides","Siluriformes","Pseudopimelodidae","Microglanis",2,"present","",3624176,"","Microglanis_cottoides",NA,52,"freshwater"
"200",200,200,200,"Micropterus salmoides","Centrarchiformes","Centrarchidae","Micropterus",2,"present","y",230493,"","Micropterus_salmoides",NA,59,"freshwater"
"201",201,201,201,"Mugil cephalus","Mugiliformes","Mugilidae","Mugil",3,"present","y",418648,"","Mugil_cephalus",NA,34,"saltwater"
"202",202,202,202,"Mylesinus paucisquamatus","Characiformes","Serrasalmidae","Mylesinus",1,"present","",506578,"","Mylesinus_paucisquamatus",NA,25,NA
"203",203,203,203,"Myleus torquatus","Characiformes","Serrasalmidae","Myleus",1,"present","",3625318,"","Myleus_torquatus",NA,NA,NA
"204",204,204,204,"Neogobius melanostomus","Gobiiformes","Gobiidae","Neogobius",1,"present","y",475633,"","Neogobius_melanostomus",NA,82,"freshwater"
"205",205,205,205,"Notothenia angustata","Perciformes","Nototheniidae","Notothenia",1,"present","",781788,"","Notothenia_angustata",NA,88,"saltwater"
"206",206,206,206,"Odontobutis obscura","Gobiiformes","Odontobutidae","Odontobutis",1,"present","",599816,"","Odontobutis_obscura",NA,NA,NA
"207",207,207,207,"Ophthalmolycus amberensis","Perciformes","Zoarcidae","Ophthalmolycus",1,"present","y",31294,"","Ophthalmolycus_amberensis",NA,104,"saltwater"
"208",208,208,208,"Opsariichthys uncirostris","Cypriniformes","Cyprinidae","Opsariichthys",1,"present","",26746,"","Opsariichthys_uncirostris",NA,76,"freshwater"
"209",209,209,209,"Parachaenichthys charcoti","Perciformes","Bathydraconidae","Parachaenichthys",1,"present","",185362,"","Parachaenichthys_charcoti",NA,104,"saltwater"
"210",210,210,210,"Paracheirodon innesi","Characiformes","Characidae","Paracheirodon",1,"present","",783059,"","Paracheirodon_innesi",NA,43,"freshwater"
"211",211,211,211,"Paranotothenia magellanica","Perciformes","Nototheniidae","Paranotothenia",1,"present","",229704,"","Paranotothenia_magellanica",NA,94,"saltwater"
"212",212,212,212,"Patagonotothen ramsayi","Perciformes","Nototheniidae","Patagonotothen",1,"present","",525441,"","Patagonotothen_ramsayi",NA,101,"saltwater"
"213",213,213,213,"Perca fluviatilis","Perciformes","Percidae","Perca",2,"present","y",186488,"","Perca_fluviatilis",NA,84,"freshwater"
"214",214,214,214,"Phenacogrammus interruptus","Characiformes","Alestidae","Phenacogrammus",1,"present","y",259776,"","Phenacogrammus_interruptus",NA,1,"freshwater"
"215",215,215,215,"Plecoglossus altivelis","Osmeriformes","Plecoglossidae","Plecoglossus",2,"present","y",486933,"","Plecoglossus_altivelis",NA,59,"freshwater"
"216",216,216,216,"Pseudaphritis urvillii","Perciformes","Pseudaphritidae","Pseudaphritis",1,"present","y",292713,"","Pseudaphritis_urvillii",NA,42,"freshwater"
"217",217,217,217,"Pseudogobio esocinus","Cypriniformes","Cyprinidae","Pseudogobio",1,"present","",424407,"","Pseudogobio_esocinus",NA,60,"freshwater"
"218",218,218,218,"Pseudopimelodus mangurus","Siluriformes","Pseudopimelodidae","Pseudopimelodus",3,"present","",61478,"","Pseudopimelodus_mangurus",NA,45,"freshwater"
"219",219,219,219,"Pseudorasbora parva","Cypriniformes","Cyprinidae","Pseudorasbora",1,"present","y",205442,"","Pseudorasbora_parva",NA,72,"freshwater"
"220",220,220,220,"Pungtungia herzi","Cypriniformes","Cyprinidae","Pungtungia",1,"present","",523420,"","Pungtungia_herzi",NA,60,"freshwater"
"221",221,221,221,"Pygocentrus piraya","Characiformes","Serrasalmidae","Pygocentrus",1,"present","",900299,"","Pygocentrus_piraya",NA,31,"freshwater"
"222",222,222,222,"Pygocentrus nattereri","Characiformes","Serrasalmidae","Pygocentrus",2,"present","y",649803,"","Pygocentrus_nattereri",NA,30,"freshwater"
"223",223,223,223,"Racovitzia glacialis","Perciformes","Bathydraconidae","Racovitzia",1,"present","",217712,"","Racovitzia_glacialis",NA,103,"saltwater"
"224",224,224,224,"Rhinogobius brunneus","Gobiiformes","Gobiidae","Rhinogobius",1,"present","",238894,"","Rhinogobius_brunneus",NA,70,"freshwater"
"225",225,225,225,"Salangichthys microdon","Osmeriformes","Salangidae","Salangichthys",1,"present","",348842,"","Salangichthys_microdon",NA,98,"saltwater"
"226",226,226,226,"Salmo salar","Salmoniformes","Salmonidae","Salmo",3,"present","y",688328,"","Salmo_salar",NA,90,"freshwater"
"227",227,227,227,"Sarcocheilichthys variegatus","Cypriniformes","Cyprinidae","Sarcocheilichthys",1,"present","",333930,"","Sarcocheilichthys_variegatus",NA,58,"freshwater"
"228",228,228,228,"Sardinella zunasi","Clupeiformes","Clupeidae","Sardinella",1,"present","",39728,"","Sardinella_zunasi",NA,52,"saltwater"
"229",229,229,229,"Sardinops melanostictus","Clupeiformes","Clupeidae","Sardinops",1,"present","",318896,"","Sardinops_melanostictus",NA,NA,NA
"230",230,230,230,"Satanoperca acuticeps","Cichliformes","Cichlidae","Satanoperca",1,"present","",784676,"","Satanoperca_acuticeps",NA,26,"freshwater"
"231",231,231,231,"Ischikauia steenackeri","Cypriniformes","Cyprinidae","Ischikauia",1,"present","",84197,"","Ischikauia_steenackeri",NA,60,"freshwater"
"232",232,232,232,"Steindachnerina brevipinna","Characiformes","Curimatidae","Steindachnerina",1,"present","",3624501,"","Steindachnerina_brevipinna",NA,44,"freshwater"
"233",233,233,233,"Synodontis nigriventris","Siluriformes","Mochokidae","Synodontis",1,"present","",315243,"","Synodontis_nigriventris",NA,2,"freshwater"
"234",234,234,234,"Takifugu alboplumbeus","Tetraodontiformes","Tetraodontidae","Takifugu",1,"present","",465414,"","Takifugu_alboplumbeus",NA,60,"saltwater"
"235",235,235,235,"Tridentiger obscurus","Gobiiformes","Gobiidae","Tridentiger",1,"present","",98404,"","Tridentiger_obscurus",NA,76,"saltwater"
"236",236,236,236,"Vinciguerria nimbaria","Stomiiformes","Phosichthyidae","Vinciguerria",1,"present","",652358,"","Vinciguerria_nimbaria",NA,53,"saltwater"
"237",237,237,237,"Vomeridens infuscipinnis","Perciformes","Bathydraconidae","Vomeridens",1,"present","y",280419,"","Vomeridens_infuscipinnis",NA,103,"saltwater"
"238",238,238,238,"Zacco platypus","Cypriniformes","Cyprinidae","Zacco",1,"present","y",652452,"","Zacco_platypus",NA,50,"freshwater"
"239",239,239,239,"Nipponocypris temminckii","Cypriniformes","Cyprinidae","Nipponocypris",1,"present","",361232,"","Nipponocypris_temminckii",NA,59,"freshwater"
"240",240,240,240,"Acanthogobius flavimanus","Gobiiformes","Gobiidae","Acanthogobius",1.5,"present","",705150,"","Acanthogobius_flavimanus",NA,56,"saltwater"
"241",241,241,241,"Acestrorhynchus altus","Characiformes","Acestrorhynchidae","Acestrorhynchus",1.5,"present","y",845247,"","Acestrorhynchus_altus",NA,26,"freshwater"
"242",242,242,242,"Acipenser ruthenus","Acipenseriformes","Acipenseridae","Acipenser",2.25,"present","y",378930,"","Acipenser_ruthenus",NA,93,"freshwater"
"243",243,243,243,"Bunocephalus coracoideus","Siluriformes","Aspredinidae","Bunocephalus",1.5,"present","",693715,"","Bunocephalus_coracoideus",NA,26,"freshwater"
"244",244,244,244,"Catoprion mento","Characiformes","Serrasalmidae","Catoprion",1.5,"present","",597343,"","Catoprion_mento",NA,21,"freshwater"
"245",245,245,245,"Chilodus punctatus","Characiformes","Chilodontidae","Chilodus",1.5,"present","",442783,"","Chilodus_punctatus",NA,17,"freshwater"
"246",246,246,246,"Synaptura selheimi","Pleuronectiformes","Soleidae","Brachirus",1.5,"present","",3640687,"","Synaptura_selheimi",NA,NA,NA
"247",247,247,247,"Glossogobius olivaceus","Gobiiformes","Gobiidae","Glossogobius",1.5,"present","",80171,"","Glossogobius_olivaceus",NA,41,"freshwater"
"248",248,248,248,"Gyrinocheilus aymonieri","Cypriniformes","Gyrinocheilidae","Gyrinocheilus",1.5,"present","",341392,"","Gyrinocheilus_aymonieri",NA,17,"freshwater"
"249",249,249,249,"Hippocampus coronatus","Syngnathiformes","Syngnathidae","Hippocampus",1.5,"present","",503882,"","Hippocampus_coronatus",NA,74,"saltwater"
"250",250,250,250,"Macrognathus aculeatus","Synbranchiformes","Mastacembelidae","Macrognathus",2.25,"present","",758692,"","Macrognathus_aculeatus",NA,51,"freshwater"
"251",251,251,251,"Malapterurus electricus","Siluriformes","Malapteruridae","Malapterurus",1.5,"present","",566351,"","Malapterurus_electricus",NA,7,"freshwater"
"252",252,252,252,"Mastacembelus erythrotaenia","Synbranchiformes","Mastacembelidae","Mastacembelus",1.5,"present","",633395,"","Mastacembelus_erythrotaenia",NA,16,"freshwater"
"253",253,253,253,"Plotosus lineatus","Siluriformes","Plotosidae","Plotosus",1.5,"present","y",949069,"","Plotosus_lineatus",NA,17,"saltwater"
"254",254,254,254,"Tridentiger trigonocephalus","Gobiiformes","Gobiidae","Tridentiger",1.5,"present","",98400,"","Tridentiger_trigonocephalus",NA,56,"saltwater"
"255",255,255,255,"Abudefduf abdominalis","Acanthomorphata","Pomacentridae","Abudefduf",3,"present","",809329,"incertae_sedis_inherited","Abudefduf_abdominalis",NA,49,"saltwater"
"256",256,256,256,"Acanthopagrus schlegelii","Spariformes","Sparidae","Acanthopagrus",3,"present","y",380194,"","Acanthopagrus_schlegelii",NA,40,"saltwater"
"257",257,257,257,"Acaronia nassa","Cichliformes","Cichlidae","Acaronia",3,"present","",170137,"","Acaronia_nassa",NA,12,"freshwater"
"258",258,258,258,"Acestrorhynchus falcatus","Characiformes","Acestrorhynchidae","Acestrorhynchus",3,"present","",845253,"","Acestrorhynchus_falcatus",NA,7,"freshwater"
"259",259,259,259,"Acipenser fulvescens","Acipenseriformes","Acipenseridae","Acipenser",3,"present","",698270,"","Acipenser_fulvescens",NA,78,"freshwater"
"260",260,260,260,"Acnodon normani","Characiformes","Serrasalmidae","Acnodon",3,"present","",179103,"","Acnodon_normani",NA,22,"freshwater"
"261",261,261,261,"Aeoliscus strigatus","Syngnathiformes","Centriscidae","Aeoliscus",3,"present","y",652346,"incertae_sedis_inherited","Aeoliscus_strigatus",NA,15,"saltwater"
"262",262,262,262,"Agamyxis pectinifrons","Siluriformes","Doradidae","Agamyxis",3,"present","",50909,"","Agamyxis_pectinifrons",NA,26,"freshwater"
"263",263,263,263,"Akarotaxis nudiceps","Perciformes","Bathydraconidae","Akarotaxis",3.25,"present","y",682053,"","Akarotaxis_nudiceps",NA,104,"saltwater"
"264",264,264,264,"Allenbatrachus grunniens","Batrachoidiformes","Batrachoididae","Allenbatrachus",3,"present","",706464,"","Allenbatrachus_grunniens",NA,36,"saltwater"
"265",265,265,265,"Amphiprion clarkii","Acanthomorphata","Pomacentridae","Amphiprion",3,"present","y",674637,"incertae_sedis_inherited","Amphiprion_clarkii",NA,17,"saltwater"
"266",266,266,266,"Anguilla japonica","Anguilliformes","Anguillidae","Anguilla",3,"present","y",854198,"","Anguilla_japonica",NA,39,"saltwater"
"267",267,267,267,"Anoplopoma fimbria","Perciformes","Anoplopomatidae","Anoplopoma",1,"present","y",441856,"","Anoplopoma_fimbria",NA,84,"saltwater"
"268",268,268,268,"Arctoscopus japonicus","Perciformes","Trichodontidae","Arctoscopus",3,"present","",883978,"","Arctoscopus_japonicus",NA,89,"saltwater"
"269",269,269,269,"Asterropteryx semipunctata","Gobiiformes","Gobiidae","Asterropteryx",3,"present","",37552,"","Asterropteryx_semipunctata",NA,26,"saltwater"
"270",270,270,270,"Barbus petenyi","Cypriniformes","Cyprinidae","Barbus",3,"present","",763568,"","Barbus_petenyi",NA,79,"freshwater"
"271",271,271,271,"Bathygobius fuscus","Gobiiformes","Gobiidae","Bathygobius",3,"present","",877729,"","Bathygobius_fuscus",NA,36,"saltwater"
"272",272,272,272,"Batrochoglanis raninus","Siluriformes","Pseudopimelodidae","Batrochoglanis",3,"present","",9881,"","Batrochoglanis_raninus",NA,26,"freshwater"
"273",273,273,273,"Brycon orbignyanus","Characiformes","Bryconidae","Brycon",3,"present","",206748,"","Brycon_orbignyanus",NA,44,"freshwater"
"274",274,274,274,"Bujurquina vittata","Cichliformes","Cichlidae","Bujurquina",3,"present","y",498815,"","Bujurquina_vittata",NA,38,"freshwater"
"275",275,275,275,"Centropyge bispinosa","Perciformes","Pomacanthidae","Centropyge",3,"present","",439843,"","Centropyge_bispinosa",NA,17,"saltwater"
"276",276,276,276,"Cephalosilurus fowleri","Siluriformes","Pseudopimelodidae","Cephalosilurus",3.25,"present","",3624192,"","Cephalosilurus_fowleri",NA,31,"freshwater"
"277",277,277,277,"Chaca chaca","Siluriformes","Chacidae","Chaca",3,"present","",45408,"","Chaca_chaca",NA,39,"freshwater"
"278",278,278,278,"Chaetobranchus flavescens","Cichliformes","Cichlidae","Chaetobranchus",3,"present","",744497,"","Chaetobranchus_flavescens",NA,17,"freshwater"
"279",279,279,279,"Chaetodon vagabundus","Chaetodontiformes","Chaetodontidae","Chaetodon",3,"present","",655872,"","Chaetodon_vagabundus",NA,17,"saltwater"
"280",280,280,280,"Channa sp.","Anabantiformes","Channidae","Channa",3,"present","",983868,"not_otu","Channa_sp.",NA,NA,NA
"281",281,281,281,"Chrysiptera cyanea","Acanthomorphata","Pomacentridae","Chrysiptera",3,"present","y",43505,"incertae_sedis_inherited","Chrysiptera_cyanea",NA,17,"saltwater"
"282",282,282,282,"Cichla kelberi","Cichliformes","Cichlidae","Cichla",3,"present","",187228,"","Cichla_kelberi",NA,28,"freshwater"
"283",283,283,283,"Cichlasoma dimerus","Cichliformes","Cichlidae","Cichlasoma",3,"present","",607611,"sibling_higher","Cichlasoma_dimerus",NA,42,"freshwater"
"284",284,284,284,"Thorichthys meeki","Cichliformes","Cichlidae","Thorichthys",3,"present","",207017,"","Thorichthys_meeki",NA,NA,NA
"285",285,285,285,"Cichlasoma paranaense","Cichliformes","Cichlidae","Cichlasoma",3,"present","",167686,"sibling_higher","Cichlasoma_paranaense",NA,45,"freshwater"
"286",286,286,286,"Cirrhinus mrigala","Cypriniformes","Cyprinidae","Cirrhinus",3,"present","y",10821,"","Cirrhinus_mrigala",NA,47,"freshwater"
"287",287,287,287,"Coregonus lavaretus","Salmoniformes","Salmonidae","Coregonus",2,"present","y",872355,"","Coregonus_lavaretus",NA,78,"freshwater"
"288",288,288,288,"Cottus pollux","Perciformes","Cottidae","Cottus",3,"present","",1000752,"","Cottus_pollux",NA,60,"freshwater"
"289",289,289,289,"Cruciglanis pacifici","Siluriformes","Pseudopimelodidae","Cruciglanis",3,"present","",3624195,"","Cruciglanis_pacifici",NA,63,"freshwater"
"290",290,290,290,"Ctenopoma acutirostre","Anabantiformes","Anabantidae","Ctenopoma",3,"present","",774818,"","Ctenopoma_acutirostre",NA,2,"freshwater"
"291",291,291,291,"Dascyllus aruanus","Acanthomorphata","Pomacentridae","Dascyllus",3,"present","",49239,"incertae_sedis_inherited","Dascyllus_aruanus",NA,15,"saltwater"
"292",292,292,292,"Decapterus maruadsi","Carangiformes","Carangidae","Decapterus",3,"present","y",766162,"","Decapterus_maruadsi",NA,35,"saltwater"
"293",293,293,293,"Dictyosoma burgeri","Perciformes","Stichaeidae","Dictyosoma",3,"present","",783192,"","Dictyosoma_burgeri",NA,62,"saltwater"
"294",294,294,294,"Dissostichus eleginoides","Perciformes","Nototheniidae","Dissostichus",3,"present","y",1040385,"","Dissostichus_eleginoides",NA,98,"saltwater"
"295",295,295,295,"Ditrema temminckii","Acanthomorphata","Embiotocidae","Ditrema",3,"present","",43516,"incertae_sedis_inherited","Ditrema_temminckii",NA,74,"saltwater"
"296",296,296,296,"Doederleinia berycoides","Pempheriformes","Acropomatidae","Doederleinia",3,"present","",1005375,"","Doederleinia_berycoides",NA,37,"saltwater"
"297",297,297,297,"Pholis nebulosa","Perciformes","Pholidae","Pholis",3,"present","",1084060,"","Pholis_nebulosa",NA,62,"saltwater"
"298",298,298,298,"Entomacrodus stellifer","Blenniiformes","Blenniidae","Entomacrodus",3,"present","",3639477,"","Entomacrodus_stellifer",NA,76,"saltwater"
"299",299,299,299,"Eopsetta grigorjewi","Pleuronectiformes","Pleuronectidae","Eopsetta",3.25,"present","",331920,"","Eopsetta_grigorjewi",NA,54,"saltwater"
"300",300,300,300,"Hyporthodus septemfasciatus","Perciformes","Serranidae","Hyporthodus",3,"present","",481019,"","Hyporthodus_septemfasciatus",NA,54,"saltwater"
"301",301,301,301,"Epinephelus coioides","Perciformes","Serranidae","Epinephelus",3.25,"present","y",457795,"","Epinephelus_coioides",NA,28,"saltwater"
"302",302,302,302,"Favonigobius gymnauchen","Gobiiformes","Gobiidae","Favonigobius",3,"present","",100808,"","Favonigobius_gymnauchen",NA,41,"saltwater"
"303",303,303,303,"Pseudanthias squamipinnis","Perciformes","Serranidae","Pseudanthias",3,"present","",26905,"","Pseudanthias_squamipinnis",NA,18,"saltwater"
"304",304,304,304,"Gadus macrocephalus","Gadiformes","Gadidae","Gadus",3,"present","y",56885,"","Gadus_macrocephalus",NA,92,"saltwater"
"305",305,305,305,"Gasterosteus aculeatus","Perciformes","Gasterosteidae","Gasterosteus",3,"present","y",401066,"","Gasterosteus_aculeatus",NA,86,"freshwater"
"306",306,306,306,"Gasterosteus aculeatus aculeatus","Perciformes","Gasterosteidae","Gasterosteus",3,"present","y",111122,"infraspecific","Gasterosteus_aculeatus aculeatus",NA,NA,NA
"307",307,307,307,"Girella punctata","Centrarchiformes","Kyphosidae","Girella",3,"present","",188324,"","Girella_punctata",NA,46,"saltwater"
"308",308,308,308,"Glossanodon semifasciatus","Argentiniformes","Argentinidae","Glossanodon",3,"present","",562634,"","Glossanodon_semifasciatus",NA,57,"saltwater"
"309",309,309,309,"Gnathonemus petersii","Osteoglossiformes","Mormyridae","Gnathonemus",3,"present","",115478,"","Gnathonemus_petersii",NA,5,"freshwater"
"310",310,310,310,"Gymnocorymbus ternetzi","Characiformes","Characidae","Gymnocorymbus",3,"present","",783051,"","Gymnocorymbus_ternetzi",NA,38,"freshwater"
"311",311,311,311,"Gymnodraco acuticeps","Perciformes","Bathydraconidae","Gymnodraco",3.5,"present","y",781785,"","Gymnodraco_acuticeps",NA,104,"saltwater"
"312",312,312,312,"Gymnotus pantherinus","Gymnotiformes","Gymnotidae","Gymnotus",3,"present","",445404,"","Gymnotus_pantherinus",NA,63,"freshwater"
"313",313,313,313,"Parajulis poecilepterus","Labriformes","Labridae","Parajulis",3,"present","",127504,"","Parajulis_poecilepterus",NA,35,"saltwater"
"314",314,314,314,"Halichoeres tenuispinis","Labriformes","Labridae","Halichoeres",3,"present","",1095891,"","Halichoeres_tenuispinis",NA,57,"saltwater"
"315",315,315,315,"Batrachomoeus trispinosus","Batrachoidiformes","Batrachoididae","Batrachomoeus",3,"present","",713029,"","Batrachomoeus_trispinosus",NA,23,"saltwater"
"316",316,316,316,"Hemiodus semitaeniatus","Characiformes","Hemiodontidae","Hemiodus",3,"present","",3624386,"","Hemiodus_semitaeniatus",NA,18,"freshwater"
"317",317,317,317,"Hemiodus sterni","Characiformes","Hemiodontidae","Hemiodus",3,"present","",3624388,"","Hemiodus_sterni",NA,26,"freshwater"
"318",318,318,318,"Hexagrammos agrammus","Perciformes","Hexagrammidae","Hexagrammos",3,"present","",185865,"","Hexagrammos_agrammus",NA,62,"saltwater"
"319",319,319,319,"Hippocampus guttulatus","Syngnathiformes","Syngnathidae","Hippocampus",3,"present","y",630164,"","Hippocampus_guttulatus",NA,71,"saltwater"
"320",320,320,320,"Hypodytes rubripinnis","Perciformes","Tetrarogidae","Hypodytes",3,"present","y",463550,"","Hypodytes_rubripinnis",NA,NA,NA
"321",321,321,321,"Hypomesus nipponensis","Osmeriformes","Osmeridae","Hypomesus",3,"present","y",37114,"","Hypomesus_nipponensis",NA,71,"freshwater"
"322",322,322,322,"Lagocephalus wheeleri","Tetraodontiformes","Tetraodontidae","Lagocephalus",3,"present","",986276,"","Lagocephalus_wheeleri",NA,46,"saltwater"
"323",323,323,323,"Lateolabrax japonicus","Pempheriformes","Lateolabracidae","Lateolabrax",3,"present","",186480,"","Lateolabrax_japonicus",NA,55,"saltwater"
"324",324,324,324,"Pseudomystus siamensis","Siluriformes","Bagridae","Pseudomystus",3,"present","",566357,"","Pseudomystus_siamensis",NA,17,"freshwater"
"325",325,325,325,"Nuchequula nuchalis","Chaetodontiformes","Leiognathidae","Nuchequula",3,"present","",89840,"","Nuchequula_nuchalis",NA,36,"saltwater"
"326",326,326,326,"Lepidotrigla microptera","Perciformes","Triglidae","Lepidotrigla",3,"present","",438423,"","Lepidotrigla_microptera",NA,57,"saltwater"
"327",327,327,327,"Leporinus fasciatus","Characiformes","Anostomidae","Leporinus",3,"present","",546980,"","Leporinus_fasciatus",NA,26,"freshwater"
"328",328,328,328,"Rutilus rutilus","Cypriniformes","Cyprinidae","Rutilus",3,"present","y",421037,"","Rutilus_rutilus",NA,87,"freshwater"
"329",329,329,329,"Pseudopleuronectes yokohamae","Pleuronectiformes","Pleuronectidae","Pseudopleuronectes",3,"present","y",608831,"","Pseudopleuronectes_yokohamae",NA,64,"saltwater"
"330",330,330,330,"Planiliza haematocheilus","Mugiliformes","Mugilidae","Planiliza",3,"present","y",963124,"","Planiliza_haematocheilus",NA,70,"saltwater"
"331",331,331,331,"Inimicus japonicus","Perciformes","Synanceiidae","Inimicus",3,"present","",301023,"","Inimicus_japonicus",NA,45,"saltwater"
"332",332,332,332,"Lophius litulon","Lophiiformes","Lophiidae","Lophius",3,"present","",607757,"","Lophius_litulon",NA,57,"saltwater"
"333",333,333,333,"Microcanthus strigatus","Centrarchiformes","Kyphosidae","Microcanthus",3,"present","",188292,"","Microcanthus_strigatus",NA,38,"saltwater"
"334",334,334,334,"Monodactylus argenteus","Perciformes","Monodactylidae","Monodactylus",3,"present","",763919,"","Monodactylus_argenteus",NA,19,"saltwater"
"335",335,335,335,"Mormyrus kannume","Osteoglossiformes","Mormyridae","Mormyrus",3,"present","",3643916,"","Mormyrus_kannume",NA,3,"freshwater"
"336",336,336,336,"Muraenolepis microps","Gadiformes","Muraenolepididae","Muraenolepis",3,"present","",185099,"","Muraenolepis_microps",NA,103,"saltwater"
"337",337,337,337,"Nandus nandus","Anabantiformes","Nandidae","Nandus",3,"present","",196682,"","Nandus_nandus",NA,36,"freshwater"
"338",338,338,338,"Chitala chitala","Osteoglossiformes","Notopteridae","Chitala",3,"present","y",863123,"","Chitala_chitala",NA,33,"freshwater"
"339",339,339,339,"Notopterus notopterus","Osteoglossiformes","Notopteridae","Notopterus",3,"present","",904617,"","Notopterus_notopterus",NA,29,"freshwater"
"340",340,340,340,"Oncorhynchus masou","Salmoniformes","Salmonidae","Oncorhynchus",3,"present","",982404,"","Oncorhynchus_masou",NA,75,"freshwater"
"341",341,341,341,"Oncorhynchus mykiss (species in domain Eukaryota)","Salmoniformes","Salmonidae","Oncorhynchus",3,"present","y",165368,"","Oncorhynchus_mykiss (species in domain Eukaryota)",NA,NA,NA
"342",342,342,342,"Oncorhynchus masou masou","Salmoniformes","Salmonidae","Oncorhynchus",2,"present","y",207835,"infraspecific","Oncorhynchus_masou masou",NA,NA,NA
"343",343,343,343,"Ophisurus macrorhynchos","Anguilliformes","Ophichthidae","Ophisurus",3,"present","",65747,"","Ophisurus_macrorhynchos",NA,86,"saltwater"
"344",344,344,344,"Oplegnathus fasciatus","Centrarchiformes","Oplegnathidae","Oplegnathus",3,"present","y",711801,"","Oplegnathus_fasciatus",NA,51,"saltwater"
"345",345,345,345,"Osphronemus goramy","Anabantiformes","Osphronemidae","Osphronemus",3,"present","",612525,"","Osphronemus_goramy",NA,25,"freshwater"
"346",346,346,346,"Oxycirrhites typus","Centrarchiformes","Cirrhitidae","Oxycirrhites",3,"present","",702709,"","Oxycirrhites_typus",NA,26,"saltwater"
