"Species","data_type","presence"
"Microlepidogaster perforatus","lateral","present"
"Hypostomus ancistroides","ventral","present"
"Hypostomus ancistroides","lateral","present"
"Eurycheilichthys pantherinus","ventral","present"
"Eurycheilichthys pantherinus","lateral","present"
"Acestridium discus","ventral","present"
"Acestridium discus","lateral","present"
"Neoplecostomus langeanii","ventral","present"
"Neoplecostomus langeanii","lateral","present"
"Otothyris rostrata","ventral","present"
"Otothyris rostrata","lateral","present"
"Epactionotus bilineatus","ventral","present"
"Epactionotus bilineatus","lateral","present"
"Chauliocheilos saxatilis","ventral","present"
"Chauliocheilos saxatilis","lateral","present"
"Neoplecostomus microps","ventral","present"
"Neoplecostomus microps","lateral","present"
"Oxyropsis wrightiana","ventral","present"
"Oxyropsis wrightiana","lateral","present"
"Plesioptopoma curvidens","ventral","present"
"Plesioptopoma curvidens","lateral","present"
"Delturus carinotus","ventral","present"
"Delturus carinotus","lateral","present"
"Corumbataia cuestae","ventral","present"
"Corumbataia cuestae","lateral","present"
"Otothyropsis marapoama","ventral","present"
"Otothyropsis marapoama","lateral","present"
"Otothyris lophophanes","ventral","present"
"Otothyris lophophanes","lateral","present"
"Neoplecostomus yapo","ventral","present"
"Neoplecostomus yapo","lateral","present"
"Neoplecostomus ribeirensis","ventral","present"
"Neoplecostomus ribeirensis","lateral","present"
"Otocinclus affinis","ventral","present"
"Otocinclus affinis","lateral","present"
"Schizolecis guntheri","ventral","present"
"Schizolecis guntheri","lateral","present"
"Pareiorhina rudolphi","ventral","present"
"Pareiorhina rudolphi","lateral","present"
"Neoplecostomus selenae","ventral","present"
"Neoplecostomus selenae","lateral","present"
"Isbrueckerichthys duseni","ventral","present"
"Isbrueckerichthys duseni","lateral","present"
"Gymnotocinclus anosteos","ventral","present"
"Gymnotocinclus anosteos","lateral","present"
"Parotocinclus jumbo","ventral","present"
"Parotocinclus jumbo","lateral","present"
"Pareiorhina carrancas","ventral","present"
"Pareiorhina carrancas","lateral","present"
"Parotocinclus prata","ventral","present"
"Parotocinclus prata","lateral","present"
"Parotocinclus maculicauda","ventral","present"
"Parotocinclus maculicauda","lateral","present"
"Hisonotus francirochai","ventral","present"
"Hisonotus francirochai","lateral","present"
"Curculionichthys insperatus","ventral","present"
"Curculionichthys insperatus","lateral","present"
"Neoplecostomus corumba","ventral","present"
"Neoplecostomus corumba","lateral","present"
"Kronichthys subteres","ventral","present"
"Kronichthys subteres","lateral","present"
"Hisonotus notatus","ventral","present"
"Hisonotus notatus","lateral","present"
"Pareiorhaphis hystrix","ventral","present"
"Pareiorhaphis hystrix","lateral","present"
"Rhinolekos britskii","ventral","present"
