"","Species","Order","Family","Genus","SV3","presence","genome.assembly","ott_id","flags","tips","SV.not.in.figure","latitude","salinity","climate","Spawning","RepGuild1","RepGuild2","AddInfos","FeedingType","diel","diel1","diel2","diel_continuous"
"115","Phoxinus oxycephalus jouyi","Cypriniformes","Cyprinidae","Phoxinus",0,"absent",NA,343644,"infraspecific","Phoxinus_oxycephalus jouyi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","Myleus setiger","Characiformes","Serrasalmidae","Myleus",0,"absent",NA,985120,NA,"Myleus_setiger",NA,17,"freshwater","tropical",NA,NA,NA,NA,NA,"diurnal","diurnal","diurnal",2
"117","Nothobranchius palmqvisti","Cyprinodontiformes","Nothobranchiidae","Nothobranchius",0,"absent",NA,3641410,NA,"Nothobranchius_palmqvisti",NA,51,"freshwater",NA,NA,"nonguarders","brood hiders","Produces up to 200 eggs which are hidden in the substrate.",NA,NA,NA,NA,NA
"118","Nannostomus beckfordi","Characiformes","Lebiasinidae","Nannostomus",0,"absent",NA,486012,NA,"Nannostomus_beckfordi",NA,12,"freshwater","tropical",NA,"nonguarders","open water/substratum egg scatterers","At spawning time in captivity, male and female swim alongside one another. Several batches of 1 to 5 eggs are laid among the fine-leaved plants, with a total of up to 200 eggs in some cases; eggs hatch in 30 to 40 hours and fry are free-swimming about six days after (Ref. 7020). Between 24°-27°C, eggs hatch in 24 hours (Ref. 205).",NA,"diurnal","diurnal","diurnal",4
"119","Oreochromis niloticus","Cichliformes","Cichlidae","Oreochromis",NA,"present","y",288063,"sibling_higher","Oreochromis_niloticus",NA,8,"freshwater","tropical","no obvious seasonal peak","bearers","external brooders","Sexual maturity is reached at 3-6 months depending on temperature, reaching about 30 g. Reproduction occurs only when temperatures are over 20°C. Several yearly spawnings every 30 days. Females incubate eggs inside their mouths (approximately for a week) where larvae hatch and remain until the vitellus is reabsorved. Egg size 1.5 mm, larval length at hatching 4 mm.
Spawns in firm sand in water from 0.6 to 2 m deep of lakes (Ref. 2) and inshore waters (Ref. 55624). Males set up and defend territory which are visited by the females. Courtship lasts several hours.  A single male probably fertilises the eggs of more than one female (Ref. 55624). Eggs are shed in batches in shallow nest and fertilized by male. Each batch of eggs is picked up into oral cavity by female. Females solely involved in broodcare. Female carries up to 200 eggs in her mouth where the larvae hatch and remain until after the yolk-sac is absorbed.",NA,"crepuscular/diurnal","diurnal","crepuscular",5
"120","Oryzias latipes","Beloniformes","Adrianichthyidae","Oryzias",0,"absent","y",942673,NA,"Oryzias_latipes",NA,50,"freshwater","tropical","no obvious seasonal peak","bearers","external brooders","Carries eggs for some time before deposition (Ref. 7471).  Oocytes mature at night followed by ovulation at dawn (Ref. 58942).",NA,"diurnal","diurnal","diurnal",5
"121","Osteoglossum bicirrhosum","Osteoglossiformes","Osteoglossidae","Osteoglossum",0,"absent","y",279997,NA,"Osteoglossum_bicirrhosum",NA,8,"freshwater","tropical",NA,"bearers","external brooders","The male carries eggs, larvae and early juveniles (alevinos) in his mouth (Ref. 1672), which lasts for nearly six weeks (Ref. 102836).",NA,NA,NA,NA,NA
"122","Pantodon buchholzi","Osteoglossiformes","Pantodontidae","Pantodon",0,"absent",NA,108350,NA,"Pantodon_buchholzi",NA,4,"freshwater","tropical",NA,"nonguarders","open water/substratum egg scatterers","It lays 80 to 220 eggs (Ref. 13371).  The eggs have a diameter of about 1.5 mm (Ref. 41580).",NA,"nocturnal","nocturnal","nocturnal",-1
"123","Piaractus mesopotamicus","Characiformes","Serrasalmidae","Piaractus",0,"absent","y",24652,NA,"Piaractus_mesopotamicus",NA,45,"freshwater","tropical",NA,"nonguarders","brood hiders","Assuming standard characid reproduction. Replace ASAP.",NA,"diurnal","diurnal","diurnal",3
"124","Prochilodus lineatus","Characiformes","Prochilodontidae","Prochilodus",0,"absent",NA,1027734,NA,"Prochilodus_lineatus",NA,43,"freshwater","tropical",NA,"guarders","nesters","Pairing is distinct during copulation (Ref. 205). Males may stay near the nest (Ref. 205).",NA,"crepuscular/diurnal","diurnal","crepuscular",4
"125","Rhodeus ocellatus","Cypriniformes","Acheilognathidae","Rhodeus",0,"absent",NA,887027,NA,"Rhodeus_ocellatus",NA,59,"freshwater","temperate",NA,"nonguarders","brood hiders","Female lays eggs inside mussels where they are fertilized by the male. Young remain in the bivalve until they can swim (Ref. 43281).",NA,"diurnal","diurnal","diurnal",3
"126","Roeboides descalvadensis","Characiformes","Characidae","Roeboides",0,"absent",NA,1077236,NA,"Roeboides_descalvadensis",NA,38,"freshwater","tropical",NA,NA,NA,NA,NA,"nocturnal","nocturnal","nocturnal",-3
"127","Roeboides myersii","Characiformes","Characidae","Roeboides",0,"absent",NA,282557,NA,"Roeboides_myersii",NA,17,"freshwater","tropical",NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","Roeboides prognathus","Characiformes","Characidae","Roeboides",0,"absent",NA,3624826,NA,"Roeboides_prognathus",NA,44,"freshwater","tropical",NA,NA,NA,NA,NA,"crepuscular/diurnal","diurnal","crepuscular",5
"129","Scleropages jardinii","Osteoglossiformes","Osteoglossidae","Scleropages",0,"absent",NA,335719,NA,"Scleropages_jardinii",NA,42,"freshwater","tropical",NA,"bearers","external brooders","Fertilized eggs are carried in the mouth of the female. Eggs hatch in 1-2 weeks. Larvae, with their enlarged yolk sac, are kept in or close to the mouth for another 4 or 5 weeks. Young fish commence feeding, primarily on microcrustaceans, at a size of 2-3 cm, well before the yolk sac is entirely resorbed. Become independent  at a length of 3.5-4.0 cm.",NA,NA,NA,NA,NA
"130","Serrapinnus notomelas","Characiformes","Characidae","Serrapinnus",0,"absent",NA,199867,NA,"Serrapinnus_notomelas",NA,38,"freshwater","tropical",NA,"nonguarders","open water/substratum egg scatterers",NA,NA,"diurnal","diurnal","diurnal",3
"131","Serrasalmus rhombeus","Characiformes","Serrasalmidae","Serrasalmus",0,"absent",NA,382210,NA,"Serrasalmus_rhombeus",NA,7,"freshwater","tropical",NA,"nonguarders",NA,NA,NA,"nocturnal","nocturnal","nocturnal",-3
"132","Sternopygus macrurus","Gymnotiformes","Sternopygidae","Sternopygus",0,"absent",NA,729097,NA,"Sternopygus_macrurus",NA,20,"freshwater","tropical",NA,"nonguarders","open water/substratum egg scatterers","Eggs of 3 mm diameter are deposited among plants. Larvae hatch after 4 days and start feeding after 11 days.",NA,"nocturnal","nocturnal","nocturnal",-3
"133","Strongylura anastomella","Beloniformes","Belonidae","Strongylura",0,"absent",NA,703667,NA,"Strongylura_anastomella",NA,57,"saltwater","subtropical, temperate",NA,"nonguarders","open water/substratum egg scatterers",NA,NA,NA,NA,NA,NA
"134","Teleocichla proselytus","Cichliformes","Cichlidae","Teleocichla",0,"absent",NA,493822,NA,"Teleocichla_proselytus",NA,26,"freshwater","tropical",NA,"guarders","nesters",NA,NA,NA,NA,NA,NA
"135","Marosatherina ladigesi","Atheriniformes","Telmatherinidae","Marosatherina",0,"absent",NA,296889,NA,"Marosatherina_ladigesi",NA,42,"freshwater",NA,NA,"nonguarders","brood hiders","A partial spawner based on the different stages of oocyte development in the ovaries (Ref. 93617).",NA,NA,NA,NA,NA
"136","Pseudaspius hakonensis","Cypriniformes","Cyprinidae","Pseudaspius",0,"absent",NA,372585,NA,"Pseudaspius_hakonensis",NA,71,"freshwater","subtropical, temperate",NA,NA,NA,NA,NA,"diurnal","diurnal","diurnal",3
"137","Triportheus nematurus","Characiformes","Triportheidae","Triportheus",0,"absent",NA,48234,NA,"Triportheus_nematurus",NA,38,"freshwater","tropical",NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","Xenentodon cancila","Beloniformes","Belonidae","Xenentodon",0,"absent","y",549052,NA,"Xenentodon_cancila",NA,30,"freshwater","tropical",NA,"nonguarders","open water/substratum egg scatterers","Male pursues a slow-moving female and upon catching up with the female, will begin shuddering from side to side while the pair is  oriented parallel to each other; the pair positions themselves close to submerged vegetation; male assumes a slight head-down position , with his anal fin curled under the female's vent; the pair begins trembling until a single large egg is released; each female produces about a dozen eggs per day; eggs hatch in about a week; no parental care (Ref. 44091).",NA,NA,NA,NA,NA
"139","Epinephelus malabaricus","Perciformes","Serranidae","Epinephelus",0,"absent","y",463848,NA,"Epinephelus_malabaricus",NA,19,"saltwater","tropical",NA,"nonguarders","open water/substratum egg scatterers",NA,NA,"crepuscular/nocturnal","nocturnal","crepuscular",-2
"140","Halichoeres trimaculatus","Labriformes","Labridae","Halichoeres",0,"absent","y",942026,NA,"Halichoeres_trimaculatus",NA,20,"saltwater","tropical",NA,NA,NA,"Bi-directional sex change has been confirmed for this species (Ref. 103751).  Distinct pairing during breeding (Ref. 205).",NA,"diurnal","diurnal","diurnal",5
"141","Microschemobrycon callops","Characiformes","Characidae","Microschemobrycon",0.5,"present",NA,3625570,NA,"Microschemobrycon_callops",NA,7,"freshwater","tropical",NA,NA,NA,NA,NA,"nocturnal","nocturnal","nocturnal",-2
"142","Acipenser gueldenstaedtii","Acipenseriformes","Acipenseridae","Acipenser",2,"present","y",378912,NA,"Acipenser_gueldenstaedtii",NA,80,"freshwater","temperate","one clear seasonal peak per year","nonguarders","open water/substratum egg scatterers","Under the name <i>A. g. colchicus</i>. Spawns in rivers. Natural spawning not extensive, maintained chiefly by artificial propagation. Enters rivers from April to June (a few in autumn).",NA,"nocturnal","nocturnal","nocturnal",-5
"143","Amphilophus citrinellus","Cichliformes","Cichlidae","Amphilophus",1,"present","y",358037,"sibling_higher","Amphilophus_citrinellus",NA,63,"freshwater",NA,NA,"guarders","nesters","Spawn preferentially on the ceiling of natural caves (Ref. 38966). Deposit eggs on hard substrates, such as rocks or logs; both parents  guarding the eggs and the fry for several weeks (Ref. 44091). 300-1000 eggs (Ref. 2060).",NA,NA,NA,NA,NA
"144","Anguilla rostrata","Anguilliformes","Anguillidae","Anguilla",1,"present","y",854212,NA,"Anguilla_rostrata",NA,64,"saltwater","temperate","once in a lifetime","nonguarders","open water/substratum egg scatterers","Undertakes migration in autumn to the Sargasso Sea where spawning is said to take place. Coloration changes with sexual maturation. Dorsal surface of the pectorals becomes dark, lateral line becomes prominent, eye diameter increases and visual pigments change, body takes on a silvery bronze coloration. Females are usually larger than males and migrate much farther upstream (Ref. 57533).  Adults die after spawning (Ref. 30499).
Spawn at sea but growth occurs in estuaries or freshwater (Ref. 7135). Spawning grounds believed to be between 20° and 30°N and 60°and 75°W (Ref. 40916, 40917).",NA,"nocturnal","nocturnal","nocturnal",-4
"145","Anthias anthias","Perciformes","Serranidae","Anthias",2.5,"present","y",1012253,NA,"Anthias_anthias",NA,60,"saltwater","subtropical",NA,"nonguarders",NA,"Protogyny is unconfirmed for this species (Ref. 103751).",NA,"crepuscular/diurnal","diurnal","crepuscular",4
"146","Apteronotus albifrons","Gymnotiformes","Apteronotidae","Apteronotus",1,"present",NA,789557,NA,"Apteronotus_albifrons",NA,30,"freshwater","tropical",NA,NA,NA,NA,NA,"nocturnal","nocturnal","nocturnal",-4
"147","Badis badis","Anabantiformes","Badidae","Badis",1,"present",NA,989135,NA,"Badis_badis",NA,45,"freshwater","tropical",NA,"guarders","nesters","Produces 30-100 eggs. Distinct pairing with embrace (Ref. 31218).",NA,NA,NA,NA,NA
"148","Lipolagus ochotensis","Argentiniformes","Bathylagidae","Lipolagus",1,"present",NA,562640,NA,"Lipolagus_ochotensis",NA,77,"saltwater","subtropical",NA,"nonguarders",NA,"Oviparous (Ref. 35604).",NA,"nocturnal","nocturnal","nocturnal",-2
"149","Biotodoma cupido","Cichliformes","Cichlidae","Biotodoma",1,"present",NA,667005,NA,"Biotodoma_cupido",NA,18,"freshwater","tropical",NA,"guarders","clutch tenders",NA,NA,NA,NA,NA,NA
"150","Chromobotia macracanthus","Cypriniformes","Botiidae","Chromobotia",1,"present","y",225526,NA,"Chromobotia_macracanthus",NA,32,"freshwater",NA,"one clear seasonal peak per year","nonguarders","brood hiders","Breeding occurs at the beginning of the rainy season in fast flowing rivers (Ref. 1672).",NA,"diurnal","diurnal","diurnal",5
"151","Bovichtus variegatus","Perciformes","Bovichtidae","Bovichtus",1,"present","y",448844,NA,"Bovichtus_variegatus",NA,67,"saltwater","temperate",NA,NA,NA,NA,NA,"nocturnal","nocturnal","nocturnal",-1
"152","Paralichthys olivaceus","Pleuronectiformes","Paralichthyidae","Paralichthys",2,"present","y",883392,NA,"Paralichthys_olivaceus",NA,57,"saltwater","subtropical",NA,"nonguarders","open water/substratum egg scatterers","Distinct pairing (Ref. 205).",NA,"nocturnal","nocturnal","nocturnal",-5
"153","Carnegiella marthae","Characiformes","Gasteropelecidae","Carnegiella",1,"present",NA,94214,NA,"Carnegiella_marthae",NA,7,"freshwater","tropical",NA,"nonguarders",NA,NA,NA,NA,NA,NA,NA
"154","Ceratoscopelus warmingii","Myctophiformes","Myctophidae","Ceratoscopelus",1,"present",NA,866187,NA,"Ceratoscopelus_warmingii",NA,55,"saltwater","tropical",NA,NA,NA,NA,NA,"crepuscular/nocturnal","nocturnal","crepuscular",-3
"155","Chalceus guaporensis","Characiformes","Chalceidae","Chalceus",1,"present",NA,3624886,NA,"Chalceus_guaporensis",NA,21,"freshwater","tropical",NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","Champsocephalus gunnari","Perciformes","Channichthyidae","Champsocephalus",1,"present","y",684007,NA,"Champsocephalus_gunnari",NA,102,"saltwater","polar","one clear seasonal peak per year","nonguarders","open water/substratum egg scatterers",NA,NA,"nocturnal","nocturnal","nocturnal",-4
"157","Gymnogobius urotaenia","Gobiiformes","Gobiidae","Gymnogobius",1,"present",NA,279775,NA,"Gymnogobius_urotaenia",NA,70,"freshwater","temperate",NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","Colossoma macropomum","Characiformes","Serrasalmidae","Colossoma",1,"present","y",24678,NA,"Colossoma_macropomum",NA,14,"freshwater","tropical","one clear seasonal peak per year","nonguarders","open water/substratum egg scatterers",NA,NA,"nocturnal","nocturnal","nocturnal",-5
"159","Coptodon rendalli","Cichliformes","Cichlidae","Coptodon",1,"present","y",288060,NA,"Coptodon_rendalli",NA,12,"freshwater","tropical",NA,"guarders","nesters","Prefers a sloping spawning ground near the marginal fringe of vegetation (Ref. 3). Builds nest in shallow water where both parents guard the eggs and young.",NA,"diurnal","diurnal","diurnal",4
"160","Coreoperca kawamebari","Centrarchiformes","Sinipercidae","Coreoperca",1,"present",NA,105922,NA,"Coreoperca_kawamebari",NA,77,"freshwater",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","Cyclothone atraria","Stomiiformes","Gonostomatidae","Cyclothone",1,"present",NA,127379,NA,"Cyclothone_atraria",NA,89,"saltwater","boreal, polar, subtropical, tropical",NA,"nonguarders",NA,"Oviparous (Ref. 35800).",NA,NA,NA,NA,NA
"162","Cynotilapia afra","Cichliformes","Cichlidae","Cynotilapia",1,"present",NA,132192,NA,"Cynotilapia_afra",NA,33,"freshwater",NA,NA,"bearers","external brooders","Sexual maturity is reached at 6-8 months. Female mouth brooder.",NA,"diurnal","diurnal","diurnal",3
"163","Cyprinion macrostomum","Cypriniformes","Cyprinidae","Cyprinion",1,"present",NA,493927,NA,"Cyprinion_macrostomum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","Diplophos taenia","Stomiiformes","Diplophidae","Diplophos",1,"present",NA,350314,NA,"Diplophos_taenia",NA,58,"saltwater","subtropical, temperate",NA,"nonguarders",NA,"Oviparous (Ref. 35800).",NA,NA,NA,NA,NA
"165","Eigenmannia virescens","Gymnotiformes","Sternopygidae","Eigenmannia",1,"present",NA,437387,NA,"Eigenmannia_virescens",NA,26,"freshwater","tropical",NA,"nonguarders","brood hiders","Lays 100-200 eggs which adhere to leaves of aquatic plants (Ref. 27188).",NA,"nocturnal","nocturnal","nocturnal",-5
"166","Eleginops maclovinus","Perciformes","Eleginopidae","Eleginops",3,"present","y",816883,NA,"Eleginops_maclovinus",NA,94,"saltwater","temperate",NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","Engraulis japonicus","Clupeiformes","Engraulidae","Engraulis",1,"present","y",690902,NA,"Engraulis_japonicus",NA,57,"saltwater","tropical","variable throughout range","nonguarders","open water/substratum egg scatterers",NA,NA,"crepuscular/diurnal","diurnal","crepuscular",3
"168","Etroplus maculatus","Cichliformes","Cichlidae","Etroplus",1,"present",NA,493427,NA,"Etroplus_maculatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal","diurnal","diurnal",1
"169","Etrumeus teres","Clupeiformes","Dussumieriidae","Etrumeus",1,"present",NA,681340,NA,"Etrumeus_teres",NA,NA,NA,NA,NA,NA,NA,NA,NA,"crepuscular/diurnal","diurnal","crepuscular",3
"170","Eutropiichthys vacha","Siluriformes","Schilbeidae","Eutropiichthys",2,"present",NA,350498,NA,"Eutropiichthys_vacha",NA,29,"freshwater","tropical",NA,"nonguarders","open water/substratum egg scatterers","Distinct pairing (Ref. 205).",NA,NA,NA,NA,NA
"171","Gasteropelecus sternicla","Characiformes","Gasteropelecidae","Gasteropelecus",1,"present",NA,514221,NA,"Gasteropelecus_sternicla",NA,26,"freshwater","tropical",NA,"nonguarders",NA,NA,NA,NA,NA,NA,NA
"172","Gastromyzon borneensis","Cypriniformes","Gastromyzontidae","Gastromyzon",1,"present",NA,3627855,NA,"Gastromyzon_borneensis",NA,32,"freshwater",NA,NA,NA,NA,NA,NA,"diurnal","diurnal","diurnal",4
"173","Geophagus iporangensis","Cichliformes","Cichlidae","Geophagus",1,"present",NA,3636359,NA,"Geophagus_iporangensis",NA,63,"freshwater",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","Geophagus steindachneri","Cichliformes","Cichlidae","Geophagus",2,"present",NA,87568,NA,"Geophagus_steindachneri",NA,22,"freshwater","tropical",NA,"bearers","external brooders","Very little is known of the breeding habits of this peaceful species (Ref. 12251).",NA,"diurnal","diurnal","diurnal",2
"175","Geophagus sveni","Cichliformes","Cichlidae","Geophagus",1,"present",NA,3636351,NA,"Geophagus_sveni",NA,63,"freshwater","tropical",NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","Glyptothorax pectinopterus","Siluriformes","Sisoridae","Glyptothorax",1,"present",NA,3621869,NA,"Glyptothorax_pectinopterus",NA,46,"freshwater","subtropical",NA,NA,NA,NA,NA,"nocturnal","nocturnal","nocturnal",-1
"177","Gnathopogon caerulescens","Cypriniformes","Cyprinidae","Gnathopogon",1,"present",NA,325187,NA,"Gnathopogon_caerulescens",NA,60,"freshwater","subtropical",NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","Gobionotothen gibberifrons","Perciformes","Nototheniidae","Gobionotothen",1,"present","y",448828,NA,"Gobionotothen_gibberifrons",NA,104,"saltwater","polar, subtropical, tropical","one clear seasonal peak per year","nonguarders","brood hiders","Mature females may spawn for the first time from around 6-8 years of age (Ref. 71843).",NA,NA,NA,NA,NA
"179","Goeldiella eques","Siluriformes","Heptapteridae","Goeldiella",1,"present",NA,502078,NA,"Goeldiella_eques",NA,17,"freshwater","tropical",NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","Sigmops gracilis","Stomiiformes","Gonostomatidae","Sigmops",1,"present",NA,648959,NA,"Sigmops_gracilis",NA,76,"saltwater","subtropical",NA,"nonguarders","open water/substratum egg scatterers","Also Ref. 103751.",NA,NA,NA,NA,NA
"181","Guianacara dacrya","Cichliformes","Cichlidae","Guianacara",1,"present",NA,3636364,NA,"Guianacara_dacrya",NA,63,"freshwater","tropical",NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","Gymnocephalus cernua","Perciformes","Percidae","Gymnocephalus",1,"present","y",104323,NA,"Gymnocephalus_cernua",NA,89,"freshwater","temperate",NA,"nonguarders","open water/substratum egg scatterers","Eggs turn adhesive on contact with water and stick to stones or plants. Females lay eggs in two or more portions, usually separated by about 30 days in summer.  First portion of eggs is larger the second portion.  Larvae without or with only a brief, pelagic larval stage, switching early to benthic life, secretive and solitary, not forming schools. Larval survival is poor below 10°C and above 20°C (Ref. 59043).",NA,"crepuscular/nocturnal","nocturnal","crepuscular",-5
"183","Harpagifer georgianus","Perciformes","Harpagiferidae","Harpagifer",1,"present",NA,350788,NA,"Harpagifer_georgianus",NA,103,"saltwater","polar, subtropical",NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","Hemibarbus barbus","Cypriniformes","Cyprinidae","Hemibarbus",1,"present",NA,655295,NA,"Hemibarbus_barbus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","Hoplias malabaricus","Characiformes","Erythrinidae","Hoplias",1,"present","y",179348,NA,"Hoplias_malabaricus",NA,42,"freshwater","tropical",NA,"guarders","nesters","Eggs are fertilized in the cupped anal fin of the female. When the eggs get sticky, they are dropped into a pit which will be guarded by the male even until after the eggs have hatched (Ref. 205).",NA,"crepuscular/nocturnal","nocturnal","crepuscular",-4
"186","Hypostomus plecostomus","Siluriformes","Loricariidae","Hypostomus",1,"present",NA,96090,NA,"Hypostomus_plecostomus",NA,26,"freshwater",NA,NA,"guarders","clutch tenders","Deposits eggs on smooth rocks. Eggs are guarded by one or both parents. May deposit eggs in depressions (Ref. 2060).",NA,"nocturnal","nocturnal","nocturnal",-3
"187","Ictalurus punctatus","Siluriformes","Ictaluridae","Ictalurus",1,"present","y",701523,NA,"Ictalurus_punctatus",NA,69,"freshwater","temperate",NA,"guarders","nesters","Spawning happens, depending on latitude, during the months of April-July, with temperatures between 27-28°C. Females lay their egges on a hole dug on sandy grounds. Incubation lasts 3-8 days, and larval development between 12-16 days, depending on temperature. The pair builds a depression in the ground, which is guarded by the male (Ref. 1672). Channel catfish requires cool water and short day lengths  during the winter months for proper egg development; an egg mass can contain up to 20,000 eggs (Ref. 44091). Sexual maturity is reached at 2-3 years.",NA,"nocturnal","nocturnal","nocturnal",-5
"188","Idiacanthus antrostomus","Stomiiformes","Stomiidae","Idiacanthus",1,"present",NA,890166,NA,"Idiacanthus_antrostomus",NA,77,"saltwater","subtropical, temperate",NA,"nonguarders","open water/substratum egg scatterers","Oviparous (Ref. 35926).",NA,NA,NA,NA,NA
"189","Konosirus punctatus","Clupeiformes","Clupeidae","Konosirus",1,"present",NA,39743,NA,"Konosirus_punctatus",NA,57,"saltwater","subtropical, tropical","one clear seasonal peak per year","nonguarders","open water/substratum egg scatterers",NA,NA,"crepuscular","unclear/crepuscular","crepuscular",NA
"190","Kryptopterus bicirrhis","Siluriformes","Siluridae","Kryptopterus",1,"present",NA,896070,NA,"Kryptopterus_bicirrhis",NA,24,"freshwater","tropical",NA,"nonguarders","open water/substratum egg scatterers",NA,NA,"nocturnal","nocturnal","nocturnal",-2
"191","Lepidonotothen larseni","Perciformes","Nototheniidae","Lepidonotothen",1,"present","y",969899,NA,"Lepidonotothen_larseni",NA,NA,NA,NA,NA,NA,NA,NA,NA,"crepuscular/nocturnal","nocturnal","crepuscular",-3
"192","Lestrolepis intermedia","Aulopiformes","Paralepididae","Lestrolepis",1,"present",NA,1057256,NA,"Lestrolepis_intermedia",NA,36,"saltwater","tropical",NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","Leuciscus idus","Cypriniformes","Cyprinidae","Leuciscus",1,"present","y",41137,NA,"Leuciscus_idus",NA,88,"freshwater","temperate","one clear seasonal peak per year","nonguarders","open water/substratum egg scatterers","""Females spawn only once each season.  Individual females spawn with several males. Males assemble at spawning grounds and follow ripe females.  Females attach the sticky eggs to gravel or submerged plant material"" (Ref. 59043).",NA,"diurnal","diurnal","diurnal",4
"194","Leucopsarion petersii","Gobiiformes","Gobiidae","Leucopsarion",1,"present",NA,331701,NA,"Leucopsarion_petersii",NA,68,"saltwater","subtropical, temperate, tropical",NA,"guarders","nesters","Females spawn in nests under stones (Ref. 101248).  The egg clusters are cared for by a male until hatching (Ref. 101248).",NA,NA,NA,NA,NA
"195","Liza parsia","Mugiliformes","Mugilidae","Liza",1,"present",NA,728954,NA,"Liza_parsia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","Lophiosilurus alexandri","Siluriformes","Pseudopimelodidae","Lophiosilurus",2,"present",NA,498407,NA,"Lophiosilurus_alexandri",NA,31,"freshwater","tropical",NA,NA,NA,NA,NA,"nocturnal","nocturnal","nocturnal",-5
"197","Luciogobius guttatus","Gobiiformes","Gobiidae","Luciogobius",1,"present",NA,868320,NA,"Luciogobius_guttatus",NA,57,"saltwater","temperate",NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","Mazarunia mazarunii","Cichliformes","Cichlidae","Mazarunia",1,"present",NA,8413,NA,"Mazarunia_mazarunii",NA,63,"freshwater",NA,NA,"guarders","clutch tenders","Both parents tend the clutch. Larvae are often deposited in little holes in the roots.",NA,NA,NA,NA,NA
"199","Microglanis cottoides","Siluriformes","Pseudopimelodidae","Microglanis",2,"present",NA,3624176,NA,"Microglanis_cottoides",NA,52,"freshwater","subtropical, tropical",NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","Micropterus salmoides","Centrarchiformes","Centrarchidae","Micropterus",2,"present","y",230493,NA,"Micropterus_salmoides",NA,59,"freshwater","temperate",NA,"guarders","nesters","The male which becomes aggressive and territorial  builds the nest on  muddy bottoms of shallow water.  A female may spawn with several males on different nests. The male guards and fans the eggs for about 29 days (Ref. 93240). Spawning takes place spring to summer or when temperature reaches 15°C. Adults mate between the age of 5-12 years (Ref. 11243). Also Ref, 88808).",NA,"diurnal","diurnal","diurnal",4
"201","Mugil cephalus","Mugiliformes","Mugilidae","Mugil",3,"present","y",418648,NA,"Mugil_cephalus",NA,34,"saltwater","tropical","one clear seasonal peak per year","nonguarders","open water/substratum egg scatterers","One spawning aggregation was observed in detail. This consisted of five fish, a female and four males. Males would press against the female, which took place as the entire group moved along slowly, facing into a fairly strong tidal flow.",NA,"crepuscular/diurnal","diurnal","crepuscular",4
"202","Mylesinus paucisquamatus","Characiformes","Serrasalmidae","Mylesinus",1,"present",NA,506578,NA,"Mylesinus_paucisquamatus",NA,25,NA,"tropical",NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","Myleus torquatus","Characiformes","Serrasalmidae","Myleus",1,"present",NA,3625318,NA,"Myleus_torquatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","Neogobius melanostomus","Gobiiformes","Gobiidae","Neogobius",1,"present","y",475633,NA,"Neogobius_melanostomus",NA,82,"freshwater","temperate","no obvious seasonal peak","guarders","clutch tenders","Males protect embryos and juveniles (Ref. 36771). Males die after the spawning season (Ref. 36771).",NA,"nocturnal","nocturnal","nocturnal",-3
"205","Notothenia angustata","Perciformes","Nototheniidae","Notothenia",1,"present",NA,781788,NA,"Notothenia_angustata",NA,88,"saltwater","temperate",NA,NA,NA,NA,NA,"diurnal","diurnal","diurnal",1
"206","Odontobutis obscura","Gobiiformes","Odontobutidae","Odontobutis",1,"present",NA,599816,NA,"Odontobutis_obscura",NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal","nocturnal","nocturnal",-1
"207","Ophthalmolycus amberensis","Perciformes","Zoarcidae","Ophthalmolycus",1,"present","y",31294,NA,"Ophthalmolycus_amberensis",NA,104,"saltwater","subtropical",NA,NA,NA,NA,NA,"nocturnal","nocturnal","nocturnal",-5
"208","Opsariichthys uncirostris","Cypriniformes","Cyprinidae","Opsariichthys",1,"present",NA,26746,NA,"Opsariichthys_uncirostris",NA,76,"freshwater","temperate","one clear seasonal peak per year","nonguarders","open water/substratum egg scatterers","Spawn from June to August. Eggs are scattered over sand or gravel.",NA,"diurnal","diurnal","diurnal",4
