"","X","Species","Order","Family","Genus","SV3","presence","genome.assembly","ott_id","flags","tips","SV.not.in.figure","climate"
"36",36,"Erpetoichthys calabaricus","Polypteriformes","Polypteridae","Erpetoichthys",NA,"present","y",451269,"","Erpetoichthys_calabaricus","","tropical"
"37",37,"Hemitilapia oxyrhynchus","Cichliformes","Cichlidae","Hemitilapia",0,"absent","",720886,"","Hemitilapia_oxyrhynchus","y","tropical"
"38",38,"Mimagoniates rheocharis","Characiformes","Characidae","Mimagoniates",0,"absent","",328359,"","Mimagoniates_rheocharis","y","NA"
"39",39,"Moenkhausia xinguensis","Characiformes","Characidae","Moenkhausia",0,"absent","",1095527,"","Moenkhausia_xinguensis","y","NA"
"40",40,"Oligosarcus pintoi","Characiformes","Characidae","Oligosarcus",0,"absent","",3624795,"","Oligosarcus_pintoi","y","tropical"
"41",41,"Poecilia latipinna","Cyprinodontiformes","Poeciliidae","Poecilia",0,"absent","y",998174,"","Poecilia_latipinna","y","subtropical"
"42",42,"Probolodus heterostomus","Characiformes","Characidae","Probolodus",0,"absent","",719847,"","Probolodus_heterostomus","y","NA"
"43",43,"Rhinogobius flumineus","Gobiiformes","Gobiidae","Rhinogobius",1,"present","",518755,"","Rhinogobius_flumineus","","subtropical"
"44",44,"Rhyacichthys aspro","Gobiiformes","Rhyacichthyidae","Rhyacichthys",0,"absent","y",652242,"","Rhyacichthys_aspro","y","tropical"
"45",45,"Salvelinus namaycush","Salmoniformes","Salmonidae","Salvelinus",0,"absent","y",114152,"","Salvelinus_namaycush","y","boreal"
"46",46,"Stygichthys typhlops","Characiformes","Characidae","Stygichthys",0,"absent","",2695,"incertae_sedis_inherited","Stygichthys_typhlops","y","NA"
"47",47,"Diplodus sargus","Spariformes","Sparidae","Diplodus",3.25,"present","y",239665,"","Diplodus_sargus","","subtropical"
"48",48,"Pseudocrenilabrus multicolor victoriae","Cichliformes","Cichlidae","Pseudocrenilabrus",0,"absent","",913077,"infraspecific","Pseudocrenilabrus_multicolor victoriae","y","NA"
"49",49,"Gambusia affinis","Cyprinodontiformes","Poeciliidae","Gambusia",0,"absent","y",617445,"","Gambusia_affinis","","temperate"
"50",50,"Coryphaena hippurus","Carangiformes","Coryphaenidae","Coryphaena",3,"present","",223663,"","Coryphaena_hippurus","","tropical"
"51",51,"Lepidocybium flavobrunneum","Scombriformes","Gempylidae","Lepidocybium",0,"absent","",24770,"","Lepidocybium_flavobrunneum","y","tropical"
"52",52,"Katsuwonus pelamis","Scombriformes","Scombridae","Katsuwonus",1,"present","y",308754,"","Katsuwonus_pelamis","","tropical"
"53",53,"Tetrapturus angustirostris","Istiophoriformes","Istiophoridae","Tetrapturus",0,"absent","",665887,"","Tetrapturus_angustirostris","y","tropical"
"54",54,"Kajikia audax","Istiophoriformes","Istiophoridae","Kajikia",0,"absent","",665891,"","Kajikia_audax","y","tropical"
"55",55,"Xiphias gladius","Istiophoriformes","Xiphiidae","Xiphias",0,"absent","y",358621,"","Xiphias_gladius","","tropical"
"56",56,"Alopias superciliosus","Lamniformes","Alopiidae","Alopias",0,"absent","",73666,"","Alopias_superciliosus","y","tropical"
"57",57,"Pseudocarcharias kamoharai","Lamniformes","Pseudocarchariidae","Pseudocarcharias",0,"absent","",647448,"","Pseudocarcharias_kamoharai","y","tropical"
"58",58,"Prionace glauca","Carcharhiniformes","Carcharhinidae","Prionace",0,"absent","",361523,"","Prionace_glauca","y","tropical"
"59",59,"Carcharhinus falciformis","Carcharhiniformes","Carcharhinidae","Carcharhinus",0,"absent","",787198,"","Carcharhinus_falciformis","y","tropical"
"60",60,"Lepomis cyanellus","Centrarchiformes","Centrarchidae","Lepomis",0,"absent","",476361,"","Lepomis_cyanellus","y","temperate"
"61",61,"Lepomis macrochirus","Centrarchiformes","Centrarchidae","Lepomis",2,"present","y",836783,"","Lepomis_macrochirus","","temperate"
"62",62,"Lepisosteus oculatus","Semionotiformes","Lepisosteidae","Lepisosteus",0,"absent","y",1028028,"","Lepisosteus_oculatus","y","temperate"
"63",63,"Poecilia mexicana","Cyprinodontiformes","Poeciliidae","Poecilia",0,"absent","y",6465,"","Poecilia_mexicana","y","NA"
"64",64,"Neolamprologus brichardi","Cichliformes","Cichlidae","Neolamprologus",0,"absent","y",279935,"","Neolamprologus_brichardi","","NA"
"65",65,"Nothobranchius furzeri","Cyprinodontiformes","Nothobranchiidae","Nothobranchius",0,"absent","y",513643,"","Nothobranchius_furzeri","","NA"
"66",66,"Odontesthes bonariensis","Atheriniformes","Atherinopsidae","Odontesthes",0,"absent","y",960735,"","Odontesthes_bonariensis","","tropical"
"67",67,"Oncorhynchus tshawytscha","Salmoniformes","Salmonidae","Oncorhynchus",0,"absent","y",730762,"","Oncorhynchus_tshawytscha","y","subtropical, temperate"
"68",68,"Rastrelliger brachysoma","Scombriformes","Scombridae","Rastrelliger",3,"present","y",916275,"","Rastrelliger_brachysoma","","tropical"
"69",69,"Xenotilapia ochrogenys","Cichliformes","Cichlidae","Xenotilapia",0,"absent","y",280955,"","Xenotilapia_ochrogenys","y","NA"
"70",70,"Callochromis pleurospilus","Cichliformes","Cichlidae","Callochromis",0,"absent","",702765,"","Callochromis_pleurospilus","y","NA"
"71",71,"Triglachromis otostigma","Cichliformes","Cichlidae","Triglachromis",0,"absent","y",223658,"","Triglachromis_otostigma","y","NA"
"72",72,"Petrochromis orthognathus","Cichliformes","Cichlidae","Petrochromis",0,"absent","y",841737,"","Petrochromis_orthognathus","y","NA"
"73",73,"Phoxinus phoxinus","Cypriniformes","Cyprinidae","Phoxinus",0,"absent","y",1019917,"","Phoxinus_phoxinus","","temperate"
