"","Species","order"
"143","Gobionotothen gibberifrons","Perciformes"
"144","Goeldiella eques","Siluriformes"
"145","Gymnarchus niloticus","Osteoglossiformes"
"146","Gymnocephalus cernua","Perciformes"
"147","Gymnocorymbus ternetzi","Characiformes"
"148","Gymnodraco acuticeps","Perciformes"
"149","Gymnogobius urotaenia","Gobiiformes"
"150","Gymnotus pantherinus","Gymnotiformes"
"151","Gyrinocheilus aymonieri","Cypriniformes"
"152","Halichoeres tenuispinis","Labriformes"
"153","Harpagifer georgianus","Perciformes"
"154","Helostoma temminkii","Anabantiformes"
"155","Hemibarbus barbus","Cypriniformes"
"156","Hemichromis guttatus","Cichliformes"
"157","Hemiodus semitaeniatus","Characiformes"
"158","Hemiodus sterni","Characiformes"
"159","Hemitilapia oxyrhynchus","Cichliformes"
"160","Hepsetus odoe","Characiformes"
"161","Heterocharax leptogrammus","Characiformes"
"162","Heterotis niloticus","Osteoglossiformes"
"163","Hexagrammos agrammus","Perciformes"
"164","Hippocampus coronatus","Syngnathiformes"
"165","Hippocampus guttulatus","Syngnathiformes"
"166","Hoplerythrinus unitaeniatus","Characiformes"
"167","Hoplias malabaricus","Characiformes"
"168","Hypoatherina valenciennei","Atheriniformes"
"169","Hypodytes rubripinnis","Perciformes"
"170","Hypomesus nipponensis","Osmeriformes"
"171","Hyporhamphus sajori","Beloniformes"
"172","Hyporthodus septemfasciatus","Perciformes"
"173","Hypostomus plecostomus","Siluriformes"
"174","Ictalurus punctatus","Siluriformes"
"175","Idiacanthus antrostomus","Stomiiformes"
"176","Iguanodectes spilurus","Characiformes"
"177","Inimicus japonicus","Perciformes"
"178","Ischikauia steenackeri","Cypriniformes"
"179","Jordanella floridae","Cyprinodontiformes"
"180","Katsuwonus pelamis","Scombriformes"
"181","Konosirus punctatus","Clupeiformes"
"182","Kryptopterus bicirrhis","Siluriformes"
"183","Lagocephalus wheeleri","Tetraodontiformes"
"184","Larimichthys crocea","Eupercaria/misc"
"185","Lateolabrax japonicus","Acropomatiformes"
"186","Latimeria chalumnae","Coelacanthiformes"
"187","Lepidonotothen larseni","Perciformes"
"188","Lepidotrigla microptera","Perciformes"
"189","Lepisosteus osseus","Semionotiformes"
"190","Lepisosteus platyrhincus","Semionotiformes"
"191","Lepomis macrochirus","Centrarchiformes"
"192","Leporinus fasciatus","Characiformes"
"193","Lestrolepis intermedia","Aulopiformes"
"194","Leuciscus idus","Cypriniformes"
"195","Leucopsarion petersii","Gobiiformes"
"196","Lipolagus ochotensis","Argentiniformes"
"197","Liza parsia","Mugiliformes"
"198","Lophiosilurus alexandri","Siluriformes"
"199","Lophius litulon","Lophiiformes"
"200","Luciocephalus pulcher","Anabantiformes"
"201","Luciogobius guttatus","Gobiiformes"
"202","Macrognathus aculeatus","Synbranchiformes"
"203","Malapterurus electricus","Siluriformes"
